================================================================================
P: A football player tackles an member of the opposing team .
H: People playing football .
label=1, predicted=1, correct
f=whatto, v=1, w=-0.003720984156293947, v*w=-0.003720984156293947
f=tobuy, v=1, w=-0.008644623469478169, v*w=-0.008644623469478169
f=red, v=1, w=-0.0110336160563934, v*w=-0.0110336160563934
f=jacket, v=1, w=-0.01980080171804969, v*w=-0.01980080171804969
f=arerelated, v=1, w=-0.02080173229081896, v*w=-0.02080173229081896
f=other, v=1, w=-0.022887079362706675, v*w=-0.022887079362706675
f=otherlady, v=1, w=-0.026102632997025053, v*w=-0.026102632997025053
f=2, v=1, w=-0.031018472224987995, v*w=-0.031018472224987995
f=lady, v=2, w=-0.018678011908724382, v*w=-0.037356023817448764
f=decide, v=1, w=-0.037619011488299395, v*w=-0.037619011488299395
f=decidewhat, v=1, w=-0.037619011488299395, v*w=-0.037619011488299395
f=ladyin, v=1, w=-0.04306527922700572, v*w=-0.04306527922700572
f=what, v=1, w=-0.04574009508082974, v*w=-0.04574009508082974
f=inthe, v=1, w=-0.04945189044635606, v*w=-0.04945189044635606
f=related, v=1, w=-0.050728669059961824, v*w=-0.050728669059961824
f=related., v=1, w=-0.05134743307716939, v*w=-0.05134743307716939
f=ladiesare, v=1, w=-0.05177318917827991, v*w=-0.05177318917827991
f=buy, v=1, w=-0.052518682418255545, v*w=-0.052518682418255545
f=helping, v=1, w=-0.06529783063554176, v*w=-0.06529783063554176
f=ishelping, v=1, w=-0.0719191842490004, v*w=-0.0719191842490004
f=in, v=1, w=-0.09509361429859492, v*w=-0.09509361429859492
f=is, v=1, w=-0.10426457744737729, v*w=-0.10426457744737729
f=ladies, v=1, w=-0.15835518123321204, v*w=-0.15835518123321204
f=are, v=1, w=-0.29381510678573053, v*w=-0.29381510678573053
f=jacketis, v=1, w=-0.3278709853232531, v*w=-0.3278709853232531
f=to, v=1, w=-0.48295348356315804, v*w=-0.48295348356315804
f=the, v=2, w=-0.2428361245146822, v*w=-0.4856722490293644
f=The, v=2, w=-0.4045696403961122, v*w=-0.8091392807922244
================================================================================
P: A person is surfing on a large wave .
H: The person is in a surfing competition .
label=0, predicted=1, wrong
f=person, v=2, w=0.31373370693429253, v*w=0.6274674138685851
f=isin, v=1, w=0.5769469124135946, v*w=0.5769469124135946
f=., v=2, w=0.12857318153330988, v*w=0.25714636306661975
f=personis, v=2, w=0.1049518735333615, v*w=0.209903747066723
f=Aperson, v=1, w=0.18744842925686842, v*w=0.18744842925686842
f=A, v=1, w=0.1356077086318421, v*w=0.1356077086318421
f=ina, v=1, w=0.1019014453480294, v*w=0.1019014453480294
f=issurfing, v=1, w=0.06746865511256583, v*w=0.06746865511256583
f=ona, v=1, w=0.038194294468584127, v*w=0.038194294468584127
f=surfingon, v=1, w=0.03356942236073325, v*w=0.03356942236073325
f=wave., v=1, w=0.024748721808903973, v*w=0.024748721808903973
f=asurfing, v=1, w=0, v*w=0
f=surfingcompetition, v=1, w=0, v*w=0
f=on, v=1, w=-0.006576607159839884, v*w=-0.006576607159839884
f=large, v=1, w=-0.0370041467848038, v*w=-0.0370041467848038
f=competition, v=1, w=-0.07090236736973868, v*w=-0.07090236736973868
f=in, v=1, w=-0.09509361429859492, v*w=-0.09509361429859492
f=a, v=2, w=-0.05768615072059646, v*w=-0.11537230144119293
f=largewave, v=1, w=-0.12403112360511095, v*w=-0.12403112360511095
f=wave, v=1, w=-0.1297818129013379, v*w=-0.1297818129013379
f=alarge, v=1, w=-0.1950525162754612, v*w=-0.1950525162754612
f=surfing, v=2, w=-0.10404664402861082, v*w=-0.20809328805722163
f=is, v=2, w=-0.10426457744737729, v*w=-0.20852915489475457
f=Theperson, v=1, w=-0.23707047786693128, v*w=-0.23707047786693128
f=competition., v=1, w=-0.2655398451311945, v*w=-0.2655398451311945
f=The, v=1, w=-0.4045696403961122, v*w=-0.4045696403961122
================================================================================
P: A girl in a field with a yellow scarf .
H: The girl is outdoors .
label=1, predicted=1, correct
f=outdoors, v=1, w=0.8260083906255807, v*w=0.8260083906255807
f=isoutdoors, v=1, w=0.4212152045530014, v*w=0.4212152045530014
f=outdoors., v=1, w=0.3738057527449281, v*w=0.3738057527449281
f=., v=2, w=0.12857318153330988, v*w=0.25714636306661975
f=girl, v=2, w=0.08465822321403782, v*w=0.16931644642807564
f=A, v=1, w=0.1356077086318421, v*w=0.1356077086318421
f=yellow, v=1, w=0.10439767238302398, v*w=0.10439767238302398
f=ina, v=1, w=0.1019014453480294, v*w=0.1019014453480294
f=scarf, v=1, w=0.09470863622445148, v*w=0.09470863622445148
f=Agirl, v=1, w=0.09137261821583721, v*w=0.09137261821583721
f=ayellow, v=1, w=0.08185951393308387, v*w=0.08185951393308387
f=witha, v=1, w=0.07968947448526474, v*w=0.07968947448526474
f=Thegirl, v=1, w=0.07874854374237017, v*w=0.07874854374237017
f=girlin, v=1, w=0.039596834400190566, v*w=0.039596834400190566
f=fieldwith, v=1, w=-0.008107285244171165, v*w=-0.008107285244171165
f=yellowscarf, v=1, w=-0.022297471151848852, v*w=-0.022297471151848852
f=with, v=1, w=-0.03837810488855693, v*w=-0.03837810488855693
f=girlis, v=1, w=-0.06515537100147538, v*w=-0.06515537100147538
f=in, v=1, w=-0.09509361429859492, v*w=-0.09509361429859492
f=is, v=1, w=-0.10426457744737729, v*w=-0.10426457744737729
f=field, v=1, w=-0.11351889130477621, v*w=-0.11351889130477621
f=a, v=2, w=-0.05768615072059646, v*w=-0.11537230144119293
f=scarf., v=1, w=-0.16900745877819442, v*w=-0.16900745877819442
f=afield, v=1, w=-0.17913146179838807, v*w=-0.17913146179838807
f=The, v=1, w=-0.4045696403961122, v*w=-0.4045696403961122
================================================================================
P: Two young girls dressed in pink reach into wishing fountain at mall .
H: Girls try to get back the money they threw into the fountain .
label=0, predicted=0, correct
f=tryto, v=1, w=0.31542124126764987, v*w=0.31542124126764987
f=., v=2, w=0.12857318153330988, v*w=0.25714636306661975
f=try, v=1, w=0.2285915149998113, v*w=0.2285915149998113
f=girlsdressed, v=1, w=0.1964743979506226, v*w=0.1964743979506226
f=dressedin, v=1, w=0.19474226844322115, v*w=0.19474226844322115
f=back, v=1, w=0.17884915529874867, v*w=0.17884915529874867
f=intothe, v=1, w=0.13364045607776134, v*w=0.13364045607776134
f=Twoyoung, v=1, w=0.10872139565378472, v*w=0.10872139565378472
f=Girls, v=1, w=0.08612281929788575, v*w=0.08612281929788575
f=girls, v=1, w=0.07702266487307059, v*w=0.07702266487307059
f=inpink, v=1, w=0.07104096288783443, v*w=0.07104096288783443
f=pink, v=1, w=0.06995806484562427, v*w=0.06995806484562427
f=Two, v=1, w=0.06669680516475003, v*w=0.06669680516475003
f=dressed, v=1, w=0.06516085376074424, v*w=0.06516085376074424
f=fountain., v=1, w=0.06059270615181129, v*w=0.06059270615181129
f=reach, v=1, w=0.027832791570339785, v*w=0.027832791570339785
f=wishing, v=1, w=0, v*w=0
f=pinkreach, v=1, w=0, v*w=0
f=reachinto, v=1, w=0, v*w=0
f=intowishing, v=1, w=0, v*w=0
f=wishingfountain, v=1, w=0, v*w=0
f=atmall, v=1, w=0, v*w=0
f=Girlstry, v=1, w=0, v*w=0
f=getback, v=1, w=0, v*w=0
f=backthe, v=1, w=0, v*w=0
f=themoney, v=1, w=0, v*w=0
f=moneythey, v=1, w=0, v*w=0
f=theythrew, v=1, w=0, v*w=0
f=threwinto, v=1, w=0, v*w=0
f=fountain, v=2, w=-3.130375586248794e-05, v*w=-6.260751172497588e-05
f=at, v=1, w=-0.023579113361532747, v*w=-0.023579113361532747
f=thefountain, v=1, w=-0.024486659548080752, v*w=-0.024486659548080752
f=toget, v=1, w=-0.035560998418399166, v*w=-0.035560998418399166
f=fountainat, v=1, w=-0.050150901794288084, v*w=-0.050150901794288084
f=threw, v=1, w=-0.08717607136703828, v*w=-0.08717607136703828
f=in, v=1, w=-0.09509361429859492, v*w=-0.09509361429859492
f=get, v=1, w=-0.12191574183941545, v*w=-0.12191574183941545
f=mall., v=1, w=-0.13638040526932818, v*w=-0.13638040526932818
f=mall, v=1, w=-0.1495798450575143, v*w=-0.1495798450575143
f=young, v=1, w=-0.1902364104823173, v*w=-0.1902364104823173
f=into, v=2, w=-0.1069791450900194, v*w=-0.2139582901800388
f=money, v=1, w=-0.22132970774361743, v*w=-0.22132970774361743
f=younggirls, v=1, w=-0.3010317145754077, v*w=-0.3010317145754077
f=to, v=1, w=-0.48295348356315804, v*w=-0.48295348356315804
f=the, v=2, w=-0.2428361245146822, v*w=-0.4856722490293644
f=they, v=1, w=-0.58449582755878, v*w=-0.58449582755878
================================================================================
P: 3 people walking through a small field .
H: Three people in a medow of flowers .
label=0, predicted=0, correct
f=people, v=2, w=0.14760555189771213, v*w=0.29521110379542426
f=., v=2, w=0.12857318153330988, v*w=0.25714636306661975
f=Three, v=1, w=0.22147263877317155, v*w=0.22147263877317155
f=3people, v=1, w=0.1214367555294036, v*w=0.1214367555294036
f=ina, v=1, w=0.1019014453480294, v*w=0.1019014453480294
f=3, v=1, w=0.08231879161874968, v*w=0.08231879161874968
f=asmall, v=1, w=0.05291678946592415, v*w=0.05291678946592415
f=througha, v=1, w=0.030179246821501717, v*w=0.030179246821501717
f=flowers., v=1, w=0.024097432312000514, v*w=0.024097432312000514
f=smallfield, v=1, w=0.01354024421169696, v*w=0.01354024421169696
f=medow, v=1, w=0, v*w=0
f=amedow, v=1, w=0, v*w=0
f=medowof, v=1, w=0, v*w=0
f=Threepeople, v=1, w=-0.01622740883286436, v*w=-0.01622740883286436
f=field., v=1, w=-0.01986909412019143, v*w=-0.01986909412019143
f=of, v=1, w=-0.043646278307833394, v*w=-0.043646278307833394
f=walkingthrough, v=1, w=-0.04459560197020632, v*w=-0.04459560197020632
f=through, v=1, w=-0.05359997707460395, v*w=-0.05359997707460395
f=walking, v=1, w=-0.07164629725212439, v*w=-0.07164629725212439
f=flowers, v=1, w=-0.08165951774338422, v*w=-0.08165951774338422
f=offlowers, v=1, w=-0.08563388253189218, v*w=-0.08563388253189218
f=in, v=1, w=-0.09509361429859492, v*w=-0.09509361429859492
f=field, v=1, w=-0.11351889130477621, v*w=-0.11351889130477621
f=a, v=2, w=-0.05768615072059646, v*w=-0.11537230144119293
f=small, v=1, w=-0.11922588225967878, v*w=-0.11922588225967878
f=peoplein, v=1, w=-0.12045092033295075, v*w=-0.12045092033295075
f=peoplewalking, v=1, w=-0.2980229096575365, v*w=-0.2980229096575365
================================================================================
P: Dozens of street performers in fuchsia , red , yellow and black outfits are dancing and singing along a city street .
H: Many performers in colorful costumes were entertaining in the streets .
label=1, predicted=0, wrong
f=colorful, v=1, w=0.33415941528889487, v*w=0.33415941528889487
f=outfits, v=1, w=0.2695192395240127, v*w=0.2695192395240127
f=., v=2, w=0.12857318153330988, v*w=0.25714636306661975
f=yellowand, v=1, w=0.21133192072833482, v*w=0.21133192072833482
f=black, v=1, w=0.17527735647504145, v*w=0.17527735647504145
f=citystreet, v=1, w=0.12511307109512312, v*w=0.12511307109512312
f=aredancing, v=1, w=0.10605736299996488, v*w=0.10605736299996488
f=yellow, v=1, w=0.10439767238302398, v*w=0.10439767238302398
f=,yellow, v=1, w=0.10236941899098043, v*w=0.10236941899098043
f=andblack, v=1, w=0.09792784073939292, v*w=0.09792784073939292
f=acity, v=1, w=0.08138028167841413, v*w=0.08138028167841413
f=incolorful, v=1, w=0.07704139520506438, v*w=0.07704139520506438
f=andsinging, v=1, w=0.072291765032124, v*w=0.072291765032124
f=dancingand, v=1, w=0.07093102478104185, v*w=0.07093102478104185
f=colorfulcostumes, v=1, w=0.05441723134709965, v*w=0.05441723134709965
f=street., v=1, w=0.023161505779684368, v*w=0.023161505779684368
f=alonga, v=1, w=0.016798889673391562, v*w=0.016798889673391562
f=singingalong, v=1, w=0.009687842580859031, v*w=0.009687842580859031
f=outfitsare, v=1, w=0.005398488448699782, v*w=0.005398488448699782
f=Dozens, v=1, w=0, v*w=0
f=fuchsia, v=1, w=0, v*w=0
f=Dozensof, v=1, w=0, v*w=0
f=performersin, v=2, w=0, v*w=0
f=infuchsia, v=1, w=0, v*w=0
f=fuchsia,, v=1, w=0, v*w=0
f=blackoutfits, v=1, w=0, v*w=0
f=Manyperformers, v=1, w=0, v*w=0
f=costumeswere, v=1, w=0, v*w=0
f=wereentertaining, v=1, w=0, v*w=0
f=entertainingin, v=1, w=0, v*w=0
f=costumes, v=1, w=-0.0007174003678937272, v*w=-0.0007174003678937272
f=street, v=2, w=-0.0035483028318261224, v*w=-0.007096605663652245
f=singing, v=1, w=-0.007156154411906946, v*w=-0.007156154411906946
f=red, v=1, w=-0.0110336160563934, v*w=-0.0110336160563934
f=thestreets, v=1, w=-0.015757572689881955, v*w=-0.015757572689881955
f=streets., v=1, w=-0.02359631280948269, v*w=-0.02359631280948269
f=streets, v=1, w=-0.030021339150544658, v*w=-0.030021339150544658
f=ofstreet, v=1, w=-0.03940465187830941, v*w=-0.03940465187830941
f=Many, v=1, w=-0.041421651397535265, v*w=-0.041421651397535265
f=of, v=1, w=-0.043646278307833394, v*w=-0.043646278307833394
f=entertaining, v=1, w=-0.044503738839099534, v*w=-0.044503738839099534
f=inthe, v=1, w=-0.04945189044635606, v*w=-0.04945189044635606
f=a, v=1, w=-0.05768615072059646, v*w=-0.05768615072059646
f=,red, v=1, w=-0.058371993970787725, v*w=-0.058371993970787725
f=,, v=2, w=-0.031041731553333035, v*w=-0.06208346310666607
f=dancing, v=1, w=-0.0872047456635561, v*w=-0.0872047456635561
f=streetperformers, v=1, w=-0.10049272856312992, v*w=-0.10049272856312992
f=along, v=1, w=-0.10436726058746547, v*w=-0.10436726058746547
f=red,, v=1, w=-0.12652293448478702, v*w=-0.12652293448478702
f=city, v=1, w=-0.14328197260076433, v*w=-0.14328197260076433
f=and, v=2, w=-0.07838795061913068, v*w=-0.15677590123826135
f=performers, v=2, w=-0.08128688896312733, v*w=-0.16257377792625466
f=the, v=1, w=-0.2428361245146822, v*w=-0.2428361245146822
f=were, v=1, w=-0.24429128239116443, v*w=-0.24429128239116443
f=in, v=3, w=-0.09509361429859492, v*w=-0.28528084289578476
f=are, v=1, w=-0.29381510678573053, v*w=-0.29381510678573053
================================================================================
P: A bride wearing her bridal gown is taking pictures with her colorful wedding bouquet in front of cows .
H: A bride is taking pictures at a barn .
label=1, predicted=0, wrong
f=colorful, v=1, w=0.33415941528889487, v*w=0.33415941528889487
f=istaking, v=2, w=0.1534842800712634, v*w=0.3069685601425268
f=wedding, v=1, w=0.2790267332974676, v*w=0.2790267332974676
f=A, v=2, w=0.1356077086318421, v*w=0.2712154172636842
f=., v=2, w=0.12857318153330988, v*w=0.25714636306661975
f=bride, v=2, w=0.10823374206553818, v*w=0.21646748413107636
f=infront, v=1, w=0.19798494554347312, v*w=0.19798494554347312
f=frontof, v=1, w=0.12611690611735155, v*w=0.12611690611735155
f=bouquet, v=1, w=0.125036540861511, v*w=0.125036540861511
f=cows., v=1, w=0.10724382276372328, v*w=0.10724382276372328
f=takingpictures, v=2, w=0.022567509013818855, v*w=0.04513501802763771
f=picturesat, v=1, w=0.04503594858608294, v*w=0.04503594858608294
f=cows, v=1, w=0.03791489271564772, v*w=0.03791489271564772
f=bridal, v=1, w=0.03633369729574571, v*w=0.03633369729574571
f=brideis, v=1, w=0.020161390791744668, v*w=0.020161390791744668
f=withher, v=1, w=0.01599550311021462, v*w=0.01599550311021462
f=barn., v=1, w=0.008139049949053083, v*w=0.008139049949053083
f=Abride, v=2, w=0.00247377655813914, v*w=0.00494755311627828
f=abarn, v=1, w=0.0006069663564338425, v*w=0.0006069663564338425
f=bridewearing, v=1, w=0, v*w=0
f=herbridal, v=1, w=0, v*w=0
f=bridalgown, v=1, w=0, v*w=0
f=gownis, v=1, w=0, v*w=0
f=hercolorful, v=1, w=0, v*w=0
f=colorfulwedding, v=1, w=0, v*w=0
f=weddingbouquet, v=1, w=0, v*w=0
f=bouquetin, v=1, w=0, v*w=0
f=ofcows, v=1, w=0, v*w=0
f=barn, v=1, w=-0.02038074827615615, v*w=-0.02038074827615615
f=at, v=1, w=-0.023579113361532747, v*w=-0.023579113361532747
f=with, v=1, w=-0.03837810488855693, v*w=-0.03837810488855693
f=of, v=1, w=-0.043646278307833394, v*w=-0.043646278307833394
f=gown, v=1, w=-0.05552399419655739, v*w=-0.05552399419655739
f=a, v=1, w=-0.05768615072059646, v*w=-0.05768615072059646
f=wearing, v=1, w=-0.08591864844088887, v*w=-0.08591864844088887
f=pictureswith, v=1, w=-0.09229198083506336, v*w=-0.09229198083506336
f=wearingher, v=1, w=-0.09313675103730504, v*w=-0.09313675103730504
f=in, v=1, w=-0.09509361429859492, v*w=-0.09509361429859492
f=ata, v=1, w=-0.09965907214342017, v*w=-0.09965907214342017
f=front, v=1, w=-0.17112468492060498, v*w=-0.17112468492060498
f=is, v=2, w=-0.10426457744737729, v*w=-0.20852915489475457
f=taking, v=2, w=-0.20385507316095705, v*w=-0.4077101463219141
f=her, v=2, w=-0.24551471204742525, v*w=-0.4910294240948505
f=pictures, v=2, w=-0.330732203772756, v*w=-0.661464407545512
================================================================================
P: A man with a cowboy hat green plaid shirt , jeans , and red boots and chaps rides a bay horse next to a young boy with a cowboy hat and blue shirt , jeans and chaps rides a pony next to him .
H: People are riding horses and ponies outside .
label=1, predicted=1, correct
f=outside., v=1, w=0.5433023646199514, v*w=0.5433023646199514
f=nextto, v=2, w=0.26253744494217535, v*w=0.5250748898843507
f=People, v=1, w=0.4289135804229491, v*w=0.4289135804229491
f=boots, v=1, w=0.28125014028971024, v*w=0.28125014028971024
f=cowboy, v=2, w=0.13680454406446468, v*w=0.27360908812892937
f=., v=2, w=0.12857318153330988, v*w=0.25714636306661975
f=blueshirt, v=1, w=0.25388420948147694, v*w=0.25388420948147694
f=jeans,, v=1, w=0.2457343318021775, v*w=0.2457343318021775
f=next, v=2, w=0.12210191439101813, v*w=0.24420382878203625
f=horse, v=1, w=0.24199648220788467, v*w=0.24199648220788467
f=Aman, v=1, w=0.21805720288299957, v*w=0.21805720288299957
f=ridinghorses, v=1, w=0.20470287331203385, v*w=0.20470287331203385
f=manwith, v=1, w=0.19994505774337457, v*w=0.19994505774337457
f=youngboy, v=1, w=0.1871246059094029, v*w=0.1871246059094029
f=outside, v=1, w=0.166993073516632, v*w=0.166993073516632
f=witha, v=2, w=0.07968947448526474, v*w=0.15937894897052948
f=,jeans, v=2, w=0.07554604909724619, v*w=0.15109209819449237
f=areriding, v=1, w=0.14503704198994016, v*w=0.14503704198994016
f=andred, v=1, w=0.14192654653183848, v*w=0.14192654653183848
f=A, v=1, w=0.1356077086318421, v*w=0.1356077086318421
f=boy, v=1, w=0.12684095568370002, v*w=0.12684095568370002
f=,and, v=1, w=0.12042251356907761, v*w=0.12042251356907761
f=jeans, v=2, w=0.05965396923990418, v*w=0.11930793847980836
f=Peopleare, v=1, w=0.11552060340254451, v*w=0.11552060340254451
f=chaps, v=2, w=0.05131554105961711, v*w=0.10263108211923422
f=horsesand, v=1, w=0.07797876112472495, v*w=0.07797876112472495
f=cowboyhat, v=2, w=0.03374074418671319, v*w=0.06748148837342638
f=bay, v=1, w=0.06592758165418647, v*w=0.06592758165418647
f=redboots, v=1, w=0.06551411449568964, v*w=0.06551411449568964
f=rides, v=2, w=0.032571713090927566, v*w=0.06514342618185513
f=him, v=1, w=0.05668117526218675, v*w=0.05668117526218675
f=andchaps, v=2, w=0.022894505175454077, v*w=0.045789010350908155
f=chapsrides, v=2, w=0.022894505175454077, v*w=0.045789010350908155
f=abay, v=1, w=0.043611301740928046, v*w=0.043611301740928046
f=tohim, v=1, w=0.037237538197128446, v*w=0.037237538197128446
f=riding, v=1, w=0.029977842013145312, v*w=0.029977842013145312
f=ponies, v=1, w=0.0290518950981455, v*w=0.0290518950981455
f=plaid, v=1, w=0.027804922376392482, v*w=0.027804922376392482
f=bootsand, v=1, w=0.02495320647791958, v*w=0.02495320647791958
f=blue, v=1, w=0.024403217777692394, v*w=0.024403217777692394
f=shirt, v=2, w=0.01170337111641635, v*w=0.0234067422328327
f=acowboy, v=2, w=0.0077059216029819804, v*w=0.015411843205963961
f=toa, v=1, w=0.014462275624736433, v*w=0.014462275624736433
f=hatgreen, v=1, w=0, v*w=0
f=greenplaid, v=1, w=0, v*w=0
f=bayhorse, v=1, w=0, v*w=0
f=horsenext, v=1, w=0, v*w=0
f=apony, v=1, w=0, v*w=0
f=ponynext, v=1, w=0, v*w=0
f=andponies, v=1, w=0, v*w=0
f=poniesoutside, v=1, w=0, v*w=0
f=ayoung, v=1, w=-0.000880154125413285, v*w=-0.000880154125413285
f=pony, v=1, w=-0.002399778625638036, v*w=-0.002399778625638036
f=andblue, v=1, w=-0.009965393922349934, v*w=-0.009965393922349934
f=red, v=1, w=-0.0110336160563934, v*w=-0.0110336160563934
f=him., v=1, w=-0.011929631843157616, v*w=-0.011929631843157616
f=plaidshirt, v=1, w=-0.03586021982723367, v*w=-0.03586021982723367
f=man, v=1, w=-0.03717188463081698, v*w=-0.03717188463081698
f=horses, v=1, w=-0.04828852396452981, v*w=-0.04828852396452981
f=with, v=2, w=-0.03837810488855693, v*w=-0.07675620977711387
f=,, v=3, w=-0.031041731553333035, v*w=-0.0931251946599991
f=jeansand, v=1, w=-0.11343716447165152, v*w=-0.11343716447165152
f=hat, v=2, w=-0.05981872844962114, v*w=-0.11963745689924228
f=green, v=1, w=-0.15242291210316838, v*w=-0.15242291210316838
f=hatand, v=1, w=-0.1536861501169598, v*w=-0.1536861501169598
f=young, v=1, w=-0.1902364104823173, v*w=-0.1902364104823173
f=shirt,, v=2, w=-0.10597585378123965, v*w=-0.2119517075624793
f=boywith, v=1, w=-0.22399648842843342, v*w=-0.22399648842843342
f=a, v=5, w=-0.05768615072059646, v*w=-0.2884307536029823
f=are, v=1, w=-0.29381510678573053, v*w=-0.29381510678573053
f=and, v=5, w=-0.07838795061913068, v*w=-0.3919397530956534
f=ridesa, v=2, w=-0.2529170216058651, v*w=-0.5058340432117302
f=to, v=2, w=-0.48295348356315804, v*w=-0.9659069671263161
================================================================================
P: A hiker pokes his head out of a tent high in the mountains .
H: The hiker heard a noise .
label=0, predicted=0, correct
f=., v=2, w=0.12857318153330988, v*w=0.25714636306661975
f=head, v=1, w=0.17674279807550783, v*w=0.17674279807550783
f=A, v=1, w=0.1356077086318421, v*w=0.1356077086318421
f=pokes, v=1, w=0.10438620891002158, v*w=0.10438620891002158
f=mountains., v=1, w=0.10298630736095625, v*w=0.10298630736095625
f=noise, v=1, w=0.09292256951239737, v*w=0.09292256951239737
f=headout, v=1, w=0.08316895283780606, v*w=0.08316895283780606
f=pokeshis, v=1, w=0.07710668983702912, v*w=0.07710668983702912
f=ofa, v=1, w=0.06322462541038039, v*w=0.06322462541038039
f=hishead, v=1, w=0.06015524038655595, v*w=0.06015524038655595
f=anoise, v=1, w=0.0488833424161681, v*w=0.0488833424161681
f=noise., v=1, w=0.0488833424161681, v*w=0.0488833424161681
f=hikerpokes, v=1, w=0, v*w=0
f=tenthigh, v=1, w=0, v*w=0
f=Thehiker, v=1, w=0, v*w=0
f=hikerheard, v=1, w=0, v*w=0
f=tent, v=1, w=-0.0045039741896031864, v*w=-0.0045039741896031864
f=highin, v=1, w=-0.02667491690768354, v*w=-0.02667491690768354
f=hearda, v=1, w=-0.030130443560138147, v*w=-0.030130443560138147
f=of, v=1, w=-0.043646278307833394, v*w=-0.043646278307833394
f=heard, v=1, w=-0.0467882719774337, v*w=-0.0467882719774337
f=inthe, v=1, w=-0.04945189044635606, v*w=-0.04945189044635606
f=atent, v=1, w=-0.05121527075822441, v*w=-0.05121527075822441
f=mountains, v=1, w=-0.07353836444105999, v*w=-0.07353836444105999
f=in, v=1, w=-0.09509361429859492, v*w=-0.09509361429859492
f=a, v=2, w=-0.05768615072059646, v*w=-0.11537230144119293
f=out, v=1, w=-0.11978184827800009, v*w=-0.11978184827800009
f=Ahiker, v=1, w=-0.12487127726517526, v*w=-0.12487127726517526
f=themountains, v=1, w=-0.1955804811472487, v*w=-0.1955804811472487
f=the, v=1, w=-0.2428361245146822, v*w=-0.2428361245146822
f=outof, v=1, w=-0.2597079549039965, v*w=-0.2597079549039965
f=high, v=1, w=-0.33382241453523104, v*w=-0.33382241453523104
f=hiker, v=2, w=-0.1783725826402606, v*w=-0.3567451652805212
f=The, v=1, w=-0.4045696403961122, v*w=-0.4045696403961122
f=his, v=1, w=-0.41268421666638866, v*w=-0.41268421666638866
================================================================================
P: Children participating at a party while looking at the one kid in exuberance over the new toy .
H: Children are at a party
label=1, predicted=0, wrong
f=overthe, v=1, w=0.22774961653068662, v*w=0.22774961653068662
f=toy., v=1, w=0.18258954839479355, v*w=0.18258954839479355
f=., v=1, w=0.12857318153330988, v*w=0.12857318153330988
f=lookingat, v=1, w=0.12266269985142393, v*w=0.12266269985142393
f=whilelooking, v=1, w=0.11597005474604578, v*w=0.11597005474604578
f=Children, v=2, w=0.05510404649131859, v*w=0.11020809298263717
f=areat, v=1, w=0.10449343233349577, v*w=0.10449343233349577
f=atthe, v=1, w=0.06541469470250082, v*w=0.06541469470250082
f=participating, v=1, w=0.0635624503868891, v*w=0.0635624503868891
f=looking, v=1, w=0.05392839852147063, v*w=0.05392839852147063
f=onekid, v=1, w=0.029728215647051814, v*w=0.029728215647051814
f=aparty, v=2, w=0.008952918555625657, v*w=0.017905837111251315
f=while, v=1, w=0.0043804580481082165, v*w=0.0043804580481082165
f=one, v=1, w=0.002041143672662094, v*w=0.002041143672662094
f=Childrenparticipating, v=1, w=0, v*w=0
f=participatingat, v=1, w=0, v*w=0
f=inexuberance, v=1, w=0, v*w=0
f=exuberanceover, v=1, w=0, v*w=0
f=kidin, v=1, w=-0.0019849074801416935, v*w=-0.0019849074801416935
f=Childrenare, v=1, w=-0.004596578628993774, v*w=-0.004596578628993774
f=newtoy, v=1, w=-0.00566647479591767, v*w=-0.00566647479591767
f=toy, v=1, w=-0.008129815595327931, v*w=-0.008129815595327931
f=exuberance, v=1, w=-0.016853858488396656, v*w=-0.016853858488396656
f=kid, v=1, w=-0.029932889349317957, v*w=-0.029932889349317957
f=partywhile, v=1, w=-0.046376788662585, v*w=-0.046376788662585
f=at, v=3, w=-0.023579113361532747, v*w=-0.07073734008459824
f=in, v=1, w=-0.09509361429859492, v*w=-0.09509361429859492
f=a, v=2, w=-0.05768615072059646, v*w=-0.11537230144119293
f=theone, v=1, w=-0.11756458971498562, v*w=-0.11756458971498562
f=thenew, v=1, w=-0.176495200552273, v*w=-0.176495200552273
f=ata, v=2, w=-0.09965907214342017, v*w=-0.19931814428684033
f=over, v=1, w=-0.2219186995193103, v*w=-0.2219186995193103
f=are, v=1, w=-0.29381510678573053, v*w=-0.29381510678573053
f=the, v=2, w=-0.2428361245146822, v*w=-0.4856722490293644
f=new, v=1, w=-0.49996273757341797, v*w=-0.49996273757341797
f=party, v=2, w=-0.37201062178662014, v*w=-0.7440212435732403
================================================================================
P: two women in lab coats looking on a image projected on the wall
H: Scientists are interpreting experimental findings .
label=0, predicted=1, wrong
f=womenin, v=1, w=0.4128508990147689, v*w=0.4128508990147689
f=two, v=1, w=0.3685725224416733, v*w=0.3685725224416733
f=onthe, v=1, w=0.14116085808089524, v*w=0.14116085808089524
f=twowomen, v=1, w=0.13288294926385869, v*w=0.13288294926385869
f=., v=1, w=0.12857318153330988, v*w=0.12857318153330988
f=coats, v=1, w=0.09462496479768284, v*w=0.09462496479768284
f=looking, v=1, w=0.05392839852147063, v*w=0.05392839852147063
f=projectedon, v=1, w=0.05213015376549175, v*w=0.05213015376549175
f=women, v=1, w=0.04466942238895564, v*w=0.04466942238895564
f=labcoats, v=1, w=0.04325113130401609, v*w=0.04325113130401609
